Column,Y_at_X=0
350,0.1720355744558415
351,0.1720355744558415
352,0.1720355744558415
353,0.1808101684232535
354,0.1904812892235365
355,0.20015222789446058
356,0.206452996949268
357,0.21008915371368955
358,0.21372529937966095
359,0.2196556960824449
360,0.2342555674060953
361,0.24885498411482743
362,0.2634547025255892
363,0.26950362521000487
364,0.27415541039353375
365,0.27880729150326883
366,0.2934659575363598
367,0.3177628490680174
368,0.34205998906530516
369,0.3646548178556998
370,0.37823671082155413
371,0.3918186201363067
372,0.4054001340959676
373,0.4229534676628484
374,0.44145117824269703
375,0.4599487317918119
376,0.47717186929267574
377,0.4928765994909735
378,0.5085817328668619
379,0.52198695739748
380,0.5157362629922386
381,0.5094861091793575
382,0.5032356493366803
383,0.5277952019610821
384,0.5624808161619265
385,0.5971666616714164
386,0.6307722270873886
387,0.662758510451073
388,0.694744418777622
389,0.7271474298757685
390,0.7679430833831604
391,0.8087380672142915
392,0.8495334049840688
393,0.8888076488153538
394,0.9274115476336868
395,0.9660156928679486
396,1.0224536220706628
397,1.1134066369427773
398,1.2043596041670255
399,1.2953127483890434
400,1.375392617237367
401,1.455327552541241
402,1.5352626944771202
403,1.596543061608539
404,1.646997394398577
405,1.697451627679858
406,1.7467990682158672
407,1.7932768998695454
408,1.8397551583442282
409,1.886232875666992
410,1.9450441884863208
411,2.004873269375989
412,2.0647022497613854
413,2.1151860936076434
414,2.1585864602346496
415,2.201986190937497
416,2.245210233388162
417,2.2877870494654053
418,2.330363881210202
419,2.3729403888244107
420,2.413395256632474
421,2.4534996205643957
422,2.4936040155839243
423,2.526613524154638
424,2.5526025469586133
425,2.5785920950685104
426,2.6057468113464974
427,2.63967504755643
428,2.6736031794596795
429,2.7075318156577457
430,2.7787883491788987
431,2.8599233629844063
432,2.941058465348362
433,3.0360469776534917
434,3.1490649119456107
435,3.2620828825790174
436,3.3759283959451594
437,3.4995399714193938
438,3.6231518118434933
439,3.7467634431896264
440,3.880361194257242
441,4.017812654576798
442,4.15526413488416
443,4.300511837547879
444,4.459333043943898
445,4.618154444265908
446,4.776933266851414
447,4.9305010999689465
448,5.084068928592958
449,5.237637088662555
450,5.380152168564045
451,5.516741989963718
452,5.653331780473129
453,5.783767189095935
454,5.8994171604182775
455,6.015066977544568
456,6.130716623997858
457,6.249894031396397
458,6.369309782459395
459,6.488725758020133
460,6.599999983473776
461,6.705363928338872
462,6.810727899646253
463,6.914873302174608
464,7.014748781436767
465,7.114624436978775
466,7.21449985829355
467,7.332537146470611
468,7.453419085551084
469,7.574300177217492
470,7.708709524321416
471,7.856265795334763
472,8.003822165460768
473,8.15288995541187
474,8.310549305645672
475,8.46820830791168
476,8.625867643187604
477,8.758959926199188
478,8.8856030517581
479,9.01224618311086
