Column,Y_at_X=0
350,90.94122119603061
351,90.94122119603061
352,91.58764830076579
353,93.52408224732156
354,95.46051663022325
355,97.39809026016025
356,99.59854500464915
357,101.79899989774347
358,103.9994547909389
359,107.51997325335971
360,111.67849236554453
361,115.83701135025915
362,120.67139533135072
363,126.79812126721282
364,132.9248470453176
365,139.02986498277767
366,143.3471735703516
367,147.66448207166673
368,151.981790662815
369,154.48724193491427
370,156.1400382539881
371,157.79283488117318
372,159.95857366892255
373,163.08789199021768
374,166.21721001616973
375,169.34238773523143
376,172.1804871868649
377,175.0185868113106
378,177.85668615760412
379,178.72433134560188
380,178.666668379137
381,178.609005056696
382,179.00286903009447
383,180.24966137755226
384,181.4964538356941
385,182.7895643418434
386,188.14568437788787
387,193.5018047306748
388,198.8579250027105
389,203.15723807715455
390,206.94970901420126
391,210.74217960470807
392,215.63609984359323
393,222.66891569621225
394,229.70173159145355
395,236.76659899923143
396,253.07372388394003
397,269.3808488106095
398,285.6879738314135
399,302.970135275536
400,320.7402102917799
401,338.5102852126513
402,353.4645678060496
403,362.6765155822492
404,371.8884630901308
405,381.1004108492525
406,385.9281620527876
407,390.71639480569075
408,395.50462780175377
409,401.30285443536
410,407.63864182465323
411,413.9744297093316
412,419.9537603117235
413,425.1534142022678
414,430.35306791187475
415,435.55272190541405
416,438.4784592164952
417,441.34445407910073
418,444.2104488845231
419,446.3050432124746
420,447.95548937633725
421,449.6059361348253
422,450.49721569171106
423,449.56889245561047
424,448.6405694385954
425,447.7122464855833
426,445.95352612875973
427,444.1545380954652
428,442.3555502348943
429,444.54264864599793
430,449.2494249137761
431,453.95620103063317
432,460.27019745100733
433,470.90216279178753
434,481.5341279749363
435,492.1660934565933
436,502.6279542896813
437,513.0768968276709
438,523.52583906628
439,533.4760162857474
440,543.075567152518
441,552.6751182498912
442,562.5365353426401
443,573.2065669448497
444,583.8765989846077
445,594.5466306975421
446,604.0794490316437
447,613.488280470138
448,622.8971120895327
449,630.8283802492484
450,637.591213270817
451,644.3540464504725
452,650.57812247123
453,654.832826126886
454,659.0875297729843
455,663.3422335730673
456,667.3347410785203
457,671.2883716559368
458,675.2420023536815
459,678.6593587580335
460,681.5946769830335
461,684.5299950220603
462,687.1074722862564
463,688.0775795314422
464,689.0476867531445
465,690.0177939810585
466,690.4818686220609
467,690.8475821048055
468,691.2132954657222
