2025-12-25 15:23:46, 0.690
2025-12-25 15:23:51, 0.690
2025-12-25 15:23:55, 0.690
2025-12-25 15:23:58, 0.690
2025-12-25 15:24:02, 0.690
2025-12-25 15:24:06, 0.690
2025-12-25 15:24:10, 0.690
2025-12-25 15:36:20, 0.690
2025-12-25 15:36:25, 0.690
2025-12-25 15:36:37, 0.690
2025-12-25 15:36:42, 0.690
2025-12-25 15:37:04, 0.690
2025-12-25 15:37:09, 0.690
2025-12-25 16:17:08, 2.190
2025-12-25 16:17:10, 1.413
2025-12-25 16:17:12, 1.811
2025-12-25 16:17:14, 1.941
2025-12-25 16:17:16, 1.661
2025-12-25 16:17:18, 1.520
2025-12-25 16:17:21, 2.122
2025-12-25 16:17:23, 1.903
2025-12-25 16:17:25, 1.355
2025-12-25 16:17:27, 1.932
2025-12-25 16:17:29, 2.234
2025-12-25 16:17:31, 1.952
2025-12-25 16:17:33, 1.373
2025-12-25 16:17:35, 1.424
2025-12-25 16:17:37, 1.767
2025-12-25 16:17:39, 1.664
2025-12-25 16:17:41, 1.454
2025-12-25 16:17:44, 1.719
2025-12-25 16:17:46, 1.576
2025-12-25 16:17:48, 1.785
2025-12-25 16:17:50, 2.254
2025-12-25 16:17:52, 1.875
2025-12-25 16:17:54, 1.290
2025-12-25 16:17:56, 1.685
2025-12-25 16:18:56, 2.237
2025-12-25 16:18:58, 0.945
2025-12-25 16:19:00, 1.376
2025-12-25 16:19:02, 0.629
2025-12-25 16:19:04, 0.863
2025-12-25 16:19:07, 1.645
2025-12-25 16:19:09, 0.656
2025-12-25 16:19:11, 1.197
2025-12-25 16:19:13, 0.995
2025-12-25 16:19:15, 1.509
2025-12-25 16:19:17, 1.128
2025-12-25 16:19:19, 1.174
2025-12-25 16:19:21, 1.301
2025-12-25 16:19:23, 0.645
2025-12-25 16:19:25, 0.895
2025-12-25 16:19:27, 1.098
2025-12-25 16:19:29, 1.414
2025-12-25 16:19:32, 1.265
2025-12-25 16:19:34, 0.876
2025-12-25 16:19:36, 0.916
2025-12-25 16:19:38, 1.607
2025-12-25 16:19:40, 1.411
2025-12-25 16:19:42, 1.326
2025-12-25 16:19:44, 1.596
2025-12-25 16:19:46, 1.315
2025-12-25 16:19:48, 1.307
2025-12-25 16:19:50, 1.292
2025-12-25 16:19:52, 1.167
2025-12-25 16:19:55, 0.632
2025-12-25 16:19:57, 0.820
2025-12-25 16:19:59, 0.935
2025-12-25 16:20:01, 1.082
2025-12-25 16:20:03, 0.787
2025-12-25 16:20:05, 1.648
2025-12-25 16:20:07, 1.209
2025-12-25 16:20:09, 0.993
2025-12-25 16:20:11, 1.298
2025-12-25 16:20:13, 1.702
2025-12-25 16:20:15, 1.400
2025-12-25 16:20:17, 1.205
2025-12-25 16:20:20, 1.266
2025-12-25 16:20:22, 0.560
2025-12-25 16:27:46, 1.051
2025-12-25 16:27:48, 1.464
2025-12-25 16:27:50, 1.431
2025-12-25 16:27:52, 1.471
2025-12-25 16:27:54, 0.988
2025-12-25 16:27:56, 1.015
2025-12-25 16:27:58, 1.311
2025-12-25 16:28:00, 1.174
2025-12-25 16:28:02, 1.233
2025-12-25 16:28:04, 0.950
2025-12-25 16:28:07, 1.285
2025-12-25 16:28:09, 1.266
2025-12-25 16:28:11, 1.447
2025-12-25 16:28:13, 1.245
2025-12-25 16:28:15, 0.908
2025-12-25 16:28:17, 1.287
2025-12-25 16:28:19, 1.244
2025-12-25 16:28:21, 1.316
2025-12-25 16:28:23, 1.269
2025-12-25 16:28:25, 1.265
2025-12-25 16:28:27, 0.901
2025-12-25 16:28:29, 0.869
2025-12-25 16:28:32, 0.906
2025-12-25 16:28:34, 1.307
2025-12-25 16:28:36, 0.793
2025-12-25 16:28:38, 0.909
2025-12-25 16:28:40, 1.116
2025-12-25 16:28:42, 1.361
2025-12-25 16:28:44, 1.619
2025-12-25 16:28:46, 1.367
2025-12-25 16:28:48, 0.872
2025-12-25 16:28:50, 0.947
2025-12-25 16:28:52, 1.335
2025-12-25 16:28:55, 0.853
2025-12-25 16:28:57, 0.923
2025-12-25 16:28:59, 1.054
2025-12-25 16:29:01, 1.499
2025-12-25 16:29:03, 1.505
2025-12-25 16:29:05, 1.319
2025-12-25 16:29:07, 1.241
2025-12-25 16:29:09, 0.746
2025-12-25 16:29:11, 1.045
2025-12-25 16:29:13, 1.255
2025-12-25 16:29:15, 1.242
2025-12-25 16:29:18, 1.233
2025-12-25 16:29:20, 0.820
2025-12-25 16:29:22, 1.131
2025-12-25 16:29:24, 1.522
2025-12-25 16:29:26, 1.585
2025-12-25 16:29:28, 1.040
2025-12-25 16:29:30, 1.078
2025-12-25 16:29:32, 1.282
2025-12-25 16:29:34, 1.527
2025-12-25 16:29:36, 1.284
2025-12-25 16:29:38, 0.725
2025-12-25 16:29:40, 1.138
2025-12-25 16:29:43, 1.480
2025-12-25 16:29:45, 1.046
2025-12-25 16:29:47, 0.797
2025-12-25 16:29:49, 0.914
2025-12-25 16:29:51, 1.012
2025-12-25 16:29:53, 1.158
2025-12-25 16:29:55, 1.555
2025-12-25 16:29:57, 1.403
2025-12-25 16:29:59, 1.029
2025-12-25 16:30:01, 1.067
2025-12-25 16:30:03, 1.313
2025-12-25 16:30:06, 0.734
2025-12-25 16:30:08, 0.866
2025-12-25 16:30:10, 1.100
2025-12-25 16:30:12, 0.610
2025-12-25 16:30:14, 0.791
2025-12-25 16:30:16, 1.236
2025-12-25 16:30:18, 1.422
2025-12-25 16:30:20, 0.732
2025-12-25 16:30:22, 1.620
2025-12-25 16:30:24, 1.639
2025-12-25 16:30:26, 1.259
2025-12-25 16:30:28, 1.261
2025-12-25 16:30:31, 0.762
2025-12-25 16:30:33, 1.042
2025-12-25 16:30:35, 1.132
2025-12-25 16:30:37, 0.989
2025-12-25 16:30:39, 1.447
2025-12-25 16:30:41, 1.273
2025-12-25 16:30:43, 1.145
2025-12-25 16:30:45, 0.744
2025-12-25 16:30:47, 1.374
2025-12-25 16:30:49, 1.336
2025-12-25 16:30:51, 1.543
2025-12-25 16:30:54, 1.283
2025-12-25 16:30:56, 1.246
2025-12-25 16:30:58, 0.669
2025-12-25 16:31:00, 0.949
2025-12-25 16:31:02, 1.344
2025-12-25 16:31:04, 1.454
2025-12-25 16:31:06, 1.418
2025-12-25 16:31:08, 0.849
2025-12-25 16:31:10, 1.427
2025-12-25 16:31:12, 1.542
2025-12-25 16:31:14, 1.521
2025-12-25 16:31:16, 1.520
2025-12-25 16:31:19, 1.393
2025-12-25 16:31:21, 0.893
2025-12-25 16:31:23, 1.056
2025-12-25 16:31:25, 1.099
2025-12-25 16:31:27, 1.505
2025-12-25 16:31:29, 1.254
2025-12-25 16:31:31, 0.681
2025-12-25 16:31:33, 1.170
2025-12-25 16:31:35, 1.084
2025-12-25 16:31:37, 1.270
2025-12-25 16:31:39, 0.835
2025-12-25 16:31:42, 1.582
2025-12-25 16:31:44, 0.715
2025-12-25 16:31:46, 1.107
2025-12-25 16:31:48, 1.549
2025-12-25 16:31:50, 1.229
2025-12-25 16:31:52, 0.612
2025-12-25 16:31:54, 1.178
2025-12-25 16:31:56, 1.277
2025-12-25 16:31:58, 1.064
2025-12-25 16:32:00, 1.222
2025-12-25 16:32:02, 0.928
2025-12-25 16:32:04, 1.227
2025-12-25 16:32:07, 0.832
2025-12-25 16:32:09, 1.687
2025-12-25 16:32:11, 0.717
2025-12-25 16:32:13, 1.200
2025-12-25 16:32:15, 1.275
2025-12-25 16:32:17, 1.031
2025-12-25 16:32:19, 1.542
2025-12-25 16:32:21, 0.605
2025-12-25 16:32:23, 1.599
2025-12-25 16:32:25, 0.571
2025-12-25 16:32:27, 1.742
2025-12-25 16:32:30, 1.130
2025-12-25 16:32:32, 1.659
2025-12-25 16:32:34, 0.518
2025-12-25 16:32:36, 0.731
2025-12-25 16:32:38, 1.692
2025-12-25 16:32:40, 1.763
2025-12-25 16:32:42, 1.545
2025-12-25 16:32:44, 1.174
2025-12-25 16:32:46, 0.872
2025-12-25 16:32:48, 1.071
2025-12-25 16:32:50, 1.255
2025-12-25 16:32:52, 1.517
2025-12-25 16:32:55, 0.943
2025-12-25 16:32:57, 1.202
2025-12-25 16:32:59, 1.233
2025-12-25 16:33:01, 1.542
2025-12-25 16:33:03, 1.526
2025-12-25 16:33:05, 1.564
2025-12-25 16:33:07, 1.323
2025-12-25 16:33:09, 1.259
2025-12-25 16:33:11, 1.375
2025-12-25 16:33:13, 1.201
2025-12-25 16:33:15, 1.240
2025-12-25 16:33:18, 1.269
2025-12-25 16:33:20, 1.305
2025-12-25 16:33:22, 1.273
2025-12-25 16:33:24, 1.082
2025-12-25 16:33:26, 1.143
2025-12-25 16:33:28, 1.201
2025-12-25 16:33:30, 1.273
2025-12-25 16:33:32, 1.477
2025-12-25 16:33:34, 1.292
2025-12-25 16:33:36, 1.254
2025-12-25 16:33:38, 0.624
2025-12-25 16:33:41, 1.174
2025-12-25 16:33:43, 1.189
